phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
width,False,confirm_w1024_dfa_s63000,1024,dfa,,63000,complete,0.5165,1.333139586992452,10.348246574401855,0.04272697057902864,9.528059967968147,0.5206,1.3359561815990797,12.668624877929688,0.04386406733055236,,,
width,False,confirm_w1024_ndfa_s63000,1024,ndfa,,63000,complete,0.565,1.226232158075233,10.505892753601074,0.04787420638285889,19.31624544398801,0.5627,1.233526194951879,15.18176555633545,0.050333944826798406,,,
width,False,confirm_w1024_endfa_s63000,1024,endfa,3000.0,63000,complete,0.5245,1.3352480516470784,10.281176567077637,0.04097015815538747,19.29089280502376,0.5208,1.3412071791364468,12.347074508666992,0.04458992637420989,,,
width,False,confirm_w1024_ediag_s63000,1024,ediag,30.0,63000,complete,0.524,1.339964418579949,10.337676048278809,0.04213327904660492,14.092900391988223,0.5171,1.3485109126085655,13.882065773010254,0.0446025905406787,,,
width,False,confirm_w1024_kndfa_s63000,1024,kndfa,3000.0,63000,complete,0.5585,1.2315340907704564,11.497528076171875,0.04677704246389352,22.978517787880264,0.5643,1.2307341639781781,15.039968490600586,0.04974033548134975,,,
width,False,confirm_w1024_dfa_s63001,1024,dfa,,63001,complete,0.5315,1.3045304454172704,13.295943260192871,0.04259855616519785,9.54169669913972,0.5354,1.3195127908457147,13.17839527130127,0.04531141967122246,,,
width,False,confirm_w1024_ndfa_s63001,1024,ndfa,,63001,complete,0.561,1.2181571528625423,14.19154167175293,0.049600218101560116,19.355528827902162,0.5624,1.2334706571954785,15.473321914672852,0.05148539423431042,,,
width,False,confirm_w1024_endfa_s63001,1024,endfa,3000.0,63001,complete,0.5265,1.307819592564109,13.10020923614502,0.04395521755236031,19.264797707815887,0.5327,1.319298230203721,12.75786018371582,0.04529848620567406,,,
width,False,confirm_w1024_ediag_s63001,1024,ediag,30.0,63001,complete,0.5285,1.3093179083927422,13.619033813476562,0.04316506322697013,14.078307109622983,0.5329,1.3224383827532258,12.85621166229248,0.04601064877081412,,,
width,False,confirm_w1024_kndfa_s63001,1024,kndfa,3000.0,63001,complete,0.5585,1.215442549606525,13.261618614196777,0.0487700094788547,22.931840612385713,0.562,1.231476006070927,16.106664657592773,0.05138122979313855,,,
width,False,confirm_w1024_dfa_s63002,1024,dfa,,63002,complete,0.4955,1.420046288680743,10.37749195098877,0.04086325621299685,9.553843367211812,0.482,1.428404800621408,10.832059860229492,0.0429094644612958,,,
width,False,confirm_w1024_ndfa_s63002,1024,ndfa,,63002,complete,0.544,1.2890671196037826,13.053515434265137,0.049590633046657034,19.311508963553933,0.545,1.2920504973767053,14.439352989196777,0.049586642539040014,,,
width,False,confirm_w1024_endfa_s63002,1024,endfa,3000.0,63002,complete,0.5025,1.4054410170718883,11.03854751586914,0.04046143948540357,19.295989447076863,0.4885,1.421067492143465,11.246350288391113,0.0430725685640466,,,
width,False,confirm_w1024_ediag_s63002,1024,ediag,30.0,63002,complete,0.494,1.4016225271494225,10.673742294311523,0.03969998848582431,14.107279412877688,0.4894,1.4246531723386693,10.497350692749023,0.042903494875071495,,,
width,False,confirm_w1024_kndfa_s63002,1024,kndfa,3000.0,63002,complete,0.544,1.298761473961035,12.951489448547363,0.04978141938790268,22.91210496295389,0.541,1.3010692088010958,14.723350524902344,0.048992959698126524,,,
width,False,confirm_w1024_dfa_s63003,1024,dfa,,63003,complete,0.5135,1.352658534139745,12.758035659790039,0.04037999858178467,9.582230632899154,0.5074,1.370772702581865,13.994023323059082,0.04445702747954849,,,
width,False,confirm_w1024_ndfa_s63003,1024,ndfa,,63003,complete,0.553,1.2501266146237808,17.592607498168945,0.04766467652089011,19.294058676088753,0.5563,1.2547572949120953,18.0578556060791,0.05195404098397272,,,
width,False,confirm_w1024_endfa_s63003,1024,endfa,3000.0,63003,complete,0.513,1.3502276501039379,13.742117881774902,0.041266878926127015,19.32683390123566,0.5121,1.3723265077180706,13.793692588806152,0.045222587441142124,,,
